Nome da tarefa,Categoria,"Data ",Descrição,Prioridade,Responsável,Status
deixar pagina completa no estilo da pagina da  apresentação,Programar,,,Média,Joao Paulo Stangorlini de Carvalho,Em andamento
deixar suporte para envio de um docs/drive e a equipe faz o post a partir,Programar,,,Média,Joao Paulo Stangorlini de Carvalho,Em andamento
"deixar a pessoa escolher sua constelação linguística ",Programar,,,Média,Joao Paulo Stangorlini de Carvalho,Em andamento
Adicionar o noether no CGIF/falar com o noether (1),"Programar, touch the grass",,,Baixa,Joao Paulo Stangorlini de Carvalho,Em andamento
implementar o  glossario,Programar,,,Baixa,Joao Paulo Stangorlini de Carvalho,Em andamento
CIP IFUSP,,,,,,Não iniciado
Adicionar link para o sci-hub/scholar/gem,,,,,,Em andamento
Bloco de minha pesquisa/material base para o post,,,,,,Concluído
Bloco de fontes para o posto,,,,,,Concluído
Mudar o envio para ser uma preview em tempo real onde vc monta o posto página completa e miniatura em blocos,,,,,,Concluído
"Projeto Nascente| design ",,,,,,Não iniciado
"conectar ao “bluesky”, algoritmo de indexação dele, sendo ele só um “cliente”",,,,,,Não iniciado
dicas/conselhos de veteranos nas wiki,,,,,,Em andamento
"sac no cgif ",,,,,,Em andamento
ter um botao para pedir para adptar o HUB para uma disciplina no observatorio,,,,,,Não iniciado
metricas do post no laboratorio pessoal,,,,,,Em andamento
"Cadeadinho, lets encrypty",,,,,,Não iniciado
dicas/conselhos/informações de veteranos,,,,,,Em andamento
Bloco pedagógico (relação do objeto divulgado com o mundo),,,,,,Não iniciado
"Bloco pedagógico novo sobre as relações daquele objeto com o mundo e esse bloco ser dividido em (cultural, político, histórico)",,,,,,Não iniciado
"a parte de edição do envio ser mais visual onde a pessoa adiciona um objeto (escolhendo quais blocos vai usar para isso) e do objeto ela vai categorizando, apronfundando, contextualizando. sendo um. quem é você o que quer comunicar e o usuario vai montando o post nessa.",,,,,,Não iniciado
